FL_MONTH,DEP_HOUR,OP_UNIQUE_CARRIER,ORIGIN,DEST,DELAY_CATEGORY
6,6,YX,RDU,LGA,NO_DELAY
5,13,AA,CLT,PHL,NO_DELAY
12,17,WN,DAL,STL,NO_DELAY
3,14,DL,MCO,ATL,NO_DELAY
11,9,WN,MSY,HOU,MINOR_DELAY
1,4,WN,GEG,OAK,NO_DELAY
4,14,DL,MSP,LAS,NO_DELAY
11,16,AS,PIT,SEA,NO_DELAY
1,12,YV,ABQ,PHX,NO_DELAY
1,19,OO,MSP,GTF,NO_DELAY
6,5,EV,GSP,EWR,MINOR_DELAY
3,5,DL,LAX,SLC,NO_DELAY
11,11,B6,LAX,JFK,NO_DELAY
4,18,WN,PHX,MDW,MINOR_DELAY
12,6,YX,LGA,PIT,NO_DELAY
3,21,YV,PHX,MRY,MAJOR_DELAY
7,22,WN,BNA,PIT,NO_DELAY
5,17,DL,HNL,MSP,NO_DELAY
3,11,AA,DSM,DFW,NO_DELAY
8,19,YV,CLT,IAD,NO_DELAY
11,5,UA,SAT,DEN,NO_DELAY
10,17,DL,STL,MSP,NO_DELAY
4,6,AA,SMF,PHX,NO_DELAY
11,10,UA,SFO,IAD,NO_DELAY
1,14,YV,IAH,ATL,NO_DELAY
1,6,AA,IAH,DFW,NO_DELAY
9,0,DL,SFO,SEA,SEVERE_DELAY
12,9,OO,FAY,ATL,NO_DELAY
1,7,YV,MLI,DFW,NO_DELAY
12,6,AA,BOS,LAX,NO_DELAY
7,10,WN,MDW,PVD,NO_DELAY
7,4,AA,TPA,CLT,NO_DELAY
11,11,AS,SEA,SLC,SEVERE_DELAY
4,11,YV,DFW,GPT,NO_DELAY
5,11,DL,SEA,ANC,NO_DELAY
10,17,EV,AMA,IAH,MAJOR_DELAY
7,15,AA,SJU,MIA,MAJOR_DELAY
1,12,OO,LGA,ORD,NO_DELAY
6,19,B6,PBI,HPN,MINOR_DELAY
4,3,B6,SJU,EWR,NO_DELAY
9,17,AA,STL,DFW,NO_DELAY
5,12,B6,SAN,JFK,NO_DELAY
1,12,MQ,DFW,LFT,MINOR_DELAY
3,15,WN,MCO,IND,NO_DELAY
8,13,OH,OKC,CLT,NO_DELAY
10,22,DL,ATL,DEN,NO_DELAY
11,5,OH,FAY,CLT,NO_DELAY
8,12,AA,BOS,PHX,NO_DELAY
6,16,WN,MDW,CLE,NO_DELAY
2,16,DL,LAS,JFK,NO_DELAY
